Время приема сообщения             Имя параметра                      Значение                 
2021-10-22 20:33:44.934            слово СНС                                    
                                   Запрос начальных данных            0                                  
                                   Тип рабочей СРНС                   3                                  
                                   Альманах GPS                       1                                  
                                   Альманах ГЛОНАСС                   1                                  
                                   Режим работы                       0                                  
                                   Подрежимы работы                   0                                  
                                   Признак времени                    0                                  
                                   Диф. режим измерений               0                                  
                                   Отказ изделия                      1                                  
                                   Порог сигнализации                 0                                  
                                   Система координат                  0                                  
                                   SM                                 0                                  
                                   P                                  0                                  

2021-10-22 20:33:45.950            слово СНС                                    
                                   Запрос начальных данных            0                                  
                                   Тип рабочей СРНС                   3                                  
                                   Альманах GPS                       1                                  
                                   Альманах ГЛОНАСС                   1                                  
                                   Режим работы                       0                                  
                                   Подрежимы работы                   0                                  
                                   Признак времени                    0                                  
                                   Диф. режим измерений               0                                  
                                   Отказ изделия                      1                                  
                                   Порог сигнализации                 0                                  
                                   Система координат                  0                                  
                                   SM                                 0                                  
                                   P                                  0                                  

2021-10-22 20:33:46.962            слово СНС                                    
                                   Запрос начальных данных            0                                  
                                   Тип рабочей СРНС                   3                                  
                                   Альманах GPS                       1                                  
                                   Альманах ГЛОНАСС                   1                                  
                                   Режим работы                       0                                  
                                   Подрежимы работы                   0                                  
                                   Признак времени                    0                                  
                                   Диф. режим измерений               0                                  
                                   Отказ изделия                      1                                  
                                   Порог сигнализации                 0                                  
                                   Система координат                  0                                  
                                   SM                                 0                                  
                                   P                                  0                                  

2021-10-22 20:33:47.971            слово СНС                                    
                                   Запрос начальных данных            0                                  
                                   Тип рабочей СРНС                   3                                  
                                   Альманах GPS                       1                                  
                                   Альманах ГЛОНАСС                   1                                  
                                   Режим работы                       0                                  
                                   Подрежимы работы                   0                                  
                                   Признак времени                    0                                  
                                   Диф. режим измерений               0                                  
                                   Отказ изделия                      1                                  
                                   Порог сигнализации                 0                                  
                                   Система координат                  0                                  
                                   SM                                 0                                  
                                   P                                  0                                  

2021-10-22 20:33:48.980            слово СНС                                    
                                   Запрос начальных данных            0                                  
                                   Тип рабочей СРНС                   3                                  
                                   Альманах GPS                       1                                  
                                   Альманах ГЛОНАСС                   1                                  
                                   Режим работы                       0                                  
                                   Подрежимы работы                   0                                  
                                   Признак времени                    0                                  
                                   Диф. режим измерений               0                                  
                                   Отказ изделия                      1                                  
                                   Порог сигнализации                 0                                  
                                   Система координат                  0                                  
                                   SM                                 0                                  
                                   P                                  0                                  
